Domain, FID
Domain1-Domain1, FID:  -4.648147009334025e-05
Domain1-Domain2, FID:  92.25479771417972
Domain1-Domain3, FID:  50.406260374534995
Domain1-Domain4, FID:  71.8977268524358
Domain1-Domain5, FID:  90.5659249002295
Domain2-Domain1, FID:  92.25479783452934
Domain2-Domain2, FID:  -2.6500456598910205e-05
Domain2-Domain3, FID:  42.33372964809902
Domain2-Domain4, FID:  71.87197103198824
Domain2-Domain5, FID:  65.06671504759848
Domain3-Domain1, FID:  50.406260424267515
Domain3-Domain2, FID:  42.33372960141598
Domain3-Domain3, FID:  -4.0174107653001556e-05
Domain3-Domain4, FID:  52.51840500214655
Domain3-Domain5, FID:  67.43120989300749
Domain4-Domain1, FID:  71.89772734606424
Domain4-Domain2, FID:  71.87197144561193
Domain4-Domain3, FID:  52.518405355277764
Domain4-Domain4, FID:  -2.909892174329798e-05
Domain4-Domain5, FID:  82.36355610423634
Domain5-Domain1, FID:  90.565924727198
Domain5-Domain2, FID:  65.06671446660232
Domain5-Domain3, FID:  67.43120976529391
Domain5-Domain4, FID:  82.36355535624388
Domain5-Domain5, FID:  -6.324676471081148e-05
