Domain, FID
Domain1-Domain1, FID:  -6.863699630343945e-05
Domain1-Domain2, FID:  86.34434885776386
Domain1-Domain3, FID:  125.46498892719111
Domain1-Domain4, FID:  168.22669726884862
Domain1-Domain5, FID:  166.02215573844268
Domain2-Domain1, FID:  86.34434900460289
Domain2-Domain2, FID:  -4.779669984600332e-05
Domain2-Domain3, FID:  101.32604297700982
Domain2-Domain4, FID:  151.45879251192446
Domain2-Domain5, FID:  145.3978118602868
Domain3-Domain1, FID:  125.46498888009378
Domain3-Domain2, FID:  101.32604313232976
Domain3-Domain3, FID:  -3.946382761910172e-05
Domain3-Domain4, FID:  77.85784811844533
Domain3-Domain5, FID:  88.67059946713354
Domain4-Domain1, FID:  168.22669721632454
Domain4-Domain2, FID:  151.45879250020312
Domain4-Domain3, FID:  77.85784859616548
Domain4-Domain4, FID:  -2.8101596683427488e-05
Domain4-Domain5, FID:  65.08230204132259
Domain5-Domain1, FID:  166.02215518188171
Domain5-Domain2, FID:  145.39781184356707
Domain5-Domain3, FID:  88.6705994268028
Domain5-Domain4, FID:  65.08230164924753
Domain5-Domain5, FID:  -5.387336747730842e-05
